Province,Destination,Occupation,Skill_Level,Sex,Age_Group,Mode_of_Approval,Risk_Score,Risk_Category,Injury_Probability,Illness_Probability,Injury_Occurred,Illness_Occurred,Years_Experience,Monthly_Salary_USD,Contract_Duration_Months
Gandaki,South Korea,Manufacturing,Skilled,Male,45+,Recruitment Agency,1,Low,0.038,0.03,0,0,7,1324,12
Madhesh,Bahrain,Cleaning,Skilled,Male,25-34,Recruitment Agency,3,Low,0.012,0.029,0,0,1,1399,24
Lumbini,Bahrain,Construction,Unskilled,Male,18-24,Recruitment Agency,7,High,0.152,0.317,0,0,7,1027,24
Bagmati,Oman,Construction,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.1,0.172,0,0,9,1418,12
Sudurpashchim,UAE,Driving,Skilled,Male,35-44,Regularisation,5,Medium,0.081,0.194,0,0,8,1447,12
Gandaki,Kuwait,Manufacturing,Unskilled,Male,25-34,Individual,7,High,0.2,0.31,0,1,9,318,24
Bagmati,UAE,Driving,Unskilled,Female,18-24,Recruitment Agency,5,Medium,0.128,0.173,0,0,4,1352,12
Sudurpashchim,UK,Construction,Skilled,Male,25-34,Regularisation,4,Medium,0.148,0.11,0,0,4,724,12
Province 1,Bahrain,Manufacturing,Semi-skilled,Male,25-34,Recruitment Agency,5,Medium,0.077,0.129,0,1,6,319,12
Karnali,Malaysia,Hospitality,Unskilled,Male,45+,Recruitment Agency,7,High,0.19,0.202,0,0,6,1044,12
Bagmati,UAE,Cleaning,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.065,0.194,0,0,2,713,24
Gandaki,Qatar,Construction,Unskilled,Female,25-34,Recruitment Agency,9,High,0.218,0.344,1,0,6,956,12
Bagmati,Oman,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,7,High,0.271,0.329,0,0,1,342,24
Madhesh,UAE,Hospitality,Unskilled,Male,18-24,Recruitment Agency,7,High,0.282,0.311,1,1,2,595,12
Madhesh,Saudi Arabia,Driving,Semi-skilled,Male,35-44,Recruitment Agency,7,High,0.206,0.25,0,0,8,686,24
Province 1,Bahrain,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.093,0.121,0,0,5,948,12
Bagmati,Kuwait,Domestic Work,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.093,0.144,1,0,6,811,12
Province 1,Malaysia,Driving,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.053,0.121,1,0,6,1361,12
Lumbini,Kuwait,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.258,0.324,1,0,8,1045,12
Lumbini,UK,Hospitality,Skilled,Male,25-34,Recruitment Agency,0,Low,0.047,0.077,0,0,1,1180,12
Province 1,Oman,Manufacturing,Skilled,Male,35-44,Recruitment Agency,1,Low,0.044,0.061,0,0,6,756,12
Lumbini,Bahrain,Cleaning,Skilled,Male,35-44,Recruitment Agency,1,Low,0.027,0.064,0,0,6,588,12
Karnali,UK,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,8,High,0.183,0.278,1,0,3,417,12
Gandaki,Japan,Manufacturing,Semi-skilled,Male,25-34,Recruitment Agency,4,Medium,0.137,0.168,0,0,6,1229,12
Sudurpashchim,Qatar,Cleaning,Unskilled,Male,35-44,Recruitment Agency,7,High,0.227,0.217,0,0,1,828,24
Bagmati,Saudi Arabia,Healthcare,Skilled,Male,35-44,Recruitment Agency,3,Low,0.02,0.021,0,0,9,798,12
Karnali,South Korea,Healthcare,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.09,0.148,0,1,2,833,12
Sudurpashchim,South Korea,Hospitality,Skilled,Male,35-44,Recruitment Agency,0,Low,0.013,0.043,0,0,3,302,12
Bagmati,Bahrain,Driving,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.116,0.171,0,0,2,616,12
Province 1,Malaysia,Construction,Semi-skilled,Male,35-44,Individual,7,High,0.203,0.302,0,0,7,1415,12
Gandaki,Oman,Cleaning,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.11,0.165,0,1,6,827,12
Bagmati,South Korea,Cleaning,Unskilled,Male,18-24,Recruitment Agency,3,Low,0.03,0.031,0,0,2,1035,12
Karnali,Oman,Construction,Unskilled,Female,35-44,Recruitment Agency,9,High,0.184,0.279,0,0,7,1298,24
Sudurpashchim,Malaysia,Healthcare,Skilled,Male,25-34,Individual,3,Low,0.038,0.042,0,1,5,907,12
Lumbini,Japan,Driving,Skilled,Male,35-44,Regularisation,0,Low,0.046,0.04,0,0,1,1192,12
Bagmati,Malaysia,Hospitality,Unskilled,Male,25-34,Individual,4,Medium,0.136,0.2,0,1,4,758,12
Bagmati,Oman,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.073,0.101,0,1,3,814,24
Lumbini,UK,Manufacturing,Semi-skilled,Female,18-24,Recruitment Agency,5,Medium,0.123,0.168,0,0,2,994,24
Sudurpashchim,Kuwait,Manufacturing,Unskilled,Male,25-34,Individual,8,High,0.271,0.307,0,0,7,993,12
Sudurpashchim,Kuwait,Hospitality,Unskilled,Male,25-34,Recruitment Agency,7,High,0.296,0.21,0,0,8,705,12
Sudurpashchim,Qatar,Cleaning,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.128,0.161,0,0,3,1479,12
Karnali,UAE,Cleaning,Skilled,Male,25-34,Individual,5,Medium,0.108,0.159,1,0,1,939,24
Sudurpashchim,Bahrain,Cleaning,Skilled,Male,35-44,Regularisation,2,Low,0.039,0.037,1,0,7,1124,12
Sudurpashchim,Kuwait,Driving,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.148,0.182,1,0,2,1394,12
Madhesh,Malaysia,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,10,High,0.172,0.346,0,1,8,409,24
Lumbini,Japan,Hospitality,Skilled,Male,18-24,Recruitment Agency,0,Low,0.022,0.079,0,1,8,1089,12
Sudurpashchim,Kuwait,Driving,Skilled,Male,35-44,Recruitment Agency,4,Medium,0.05,0.117,0,0,7,405,12
Madhesh,South Korea,Driving,Skilled,Male,18-24,Individual,3,Low,0.05,0.06,0,0,9,339,12
Bagmati,Kuwait,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,8,High,0.276,0.254,0,0,9,523,12
Lumbini,Qatar,Construction,Unskilled,Male,25-34,Recruitment Agency,9,High,0.227,0.33,0,0,6,419,12
Karnali,Saudi Arabia,Hospitality,Unskilled,Male,25-34,Recruitment Agency,8,High,0.241,0.286,0,1,3,998,12
Bagmati,Kuwait,Driving,Skilled,Male,25-34,Recruitment Agency,3,Low,0.019,0.072,1,0,2,575,12
Province 1,Oman,Hospitality,Unskilled,Male,35-44,Recruitment Agency,2,Low,0.022,0.034,0,0,7,455,24
Sudurpashchim,UAE,Driving,Unskilled,Male,35-44,Recruitment Agency,8,High,0.29,0.256,0,0,7,1148,12
Gandaki,South Korea,Hospitality,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.113,0.128,0,0,2,439,24
Karnali,South Korea,Construction,Unskilled,Female,18-24,Recruitment Agency,8,High,0.242,0.23,0,1,5,723,36
Karnali,Oman,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,9,High,0.229,0.316,1,0,8,1170,12
Province 1,Oman,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.145,0.188,0,0,4,1276,24
Sudurpashchim,Saudi Arabia,Domestic Work,Unskilled,Male,45+,Recruitment Agency,10,High,0.277,0.213,0,0,2,1199,12
Bagmati,South Korea,Healthcare,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.147,0.145,0,0,4,1333,12
Lumbini,Saudi Arabia,Domestic Work,Skilled,Male,25-34,Recruitment Agency,7,High,0.182,0.3,0,0,7,1455,12
Sudurpashchim,Qatar,Driving,Unskilled,Male,35-44,Recruitment Agency,7,High,0.241,0.329,0,1,4,1274,12
Lumbini,Japan,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.202,0.31,0,0,7,491,24
Madhesh,UK,Construction,Skilled,Male,25-34,Recruitment Agency,7,High,0.27,0.216,1,0,5,884,24
Madhesh,Qatar,Hospitality,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.067,0.157,0,0,9,914,36
Lumbini,Japan,Healthcare,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.038,0.047,0,0,6,704,24
Karnali,Oman,Manufacturing,Unskilled,Male,18-24,Recruitment Agency,8,High,0.158,0.284,0,0,3,665,12
Lumbini,Oman,Cleaning,Unskilled,Male,25-34,Individual,2,Low,0.018,0.021,0,0,5,1285,12
Karnali,UAE,Domestic Work,Unskilled,Female,18-24,Recruitment Agency,10,High,0.16,0.263,0,0,1,718,12
Gandaki,Saudi Arabia,Domestic Work,Skilled,Male,45+,Recruitment Agency,5,Medium,0.094,0.19,0,0,5,1179,12
Karnali,Malaysia,Manufacturing,Unskilled,Female,35-44,Recruitment Agency,8,High,0.183,0.278,0,0,9,1261,24
Gandaki,Saudi Arabia,Healthcare,Skilled,Male,18-24,Recruitment Agency,4,Medium,0.059,0.131,0,0,7,752,12
Madhesh,Malaysia,Cleaning,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.075,0.155,0,0,3,1429,12
Province 1,Malaysia,Healthcare,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.136,0.182,0,0,3,375,24
Province 1,UAE,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.243,0.233,0,1,8,667,12
Madhesh,UK,Construction,Skilled,Male,25-34,Recruitment Agency,7,High,0.152,0.299,0,1,5,984,12
Province 1,UAE,Hospitality,Unskilled,Female,25-34,Individual,7,High,0.156,0.286,0,1,4,1298,12
Madhesh,Japan,Healthcare,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.055,0.143,0,0,5,819,36
Gandaki,Oman,Cleaning,Skilled,Male,18-24,Recruitment Agency,1,Low,0.018,0.065,0,0,4,760,12
Lumbini,Bahrain,Hospitality,Semi-skilled,Male,25-34,Individual,3,Low,0.024,0.045,0,0,7,333,12
Karnali,Oman,Cleaning,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.08,0.123,0,0,9,687,12
Lumbini,Malaysia,Healthcare,Skilled,Male,18-24,Recruitment Agency,2,Low,0.011,0.079,0,0,3,740,12
Sudurpashchim,Saudi Arabia,Healthcare,Unskilled,Male,25-34,Recruitment Agency,7,High,0.214,0.25,1,0,8,428,12
Lumbini,Malaysia,Healthcare,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.097,0.149,0,0,8,1431,12
Bagmati,Japan,Domestic Work,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.118,0.159,0,0,6,1419,12
Gandaki,UK,Construction,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.075,0.165,0,1,2,1483,12
Madhesh,Japan,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.189,0.204,0,1,2,868,36
Lumbini,Kuwait,Hospitality,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.057,0.109,0,0,8,335,36
Karnali,Malaysia,Construction,Unskilled,Male,35-44,Recruitment Agency,10,High,0.237,0.238,0,0,3,1009,24
Province 1,Bahrain,Driving,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.059,0.183,0,0,8,1067,24
Sudurpashchim,Qatar,Cleaning,Skilled,Male,35-44,Recruitment Agency,5,Medium,0.065,0.109,0,0,6,1136,12
Province 1,Japan,Healthcare,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.133,0.198,1,0,3,492,12
Lumbini,Qatar,Construction,Unskilled,Male,35-44,Recruitment Agency,9,High,0.254,0.255,1,0,4,1396,24
Bagmati,Oman,Manufacturing,Skilled,Male,25-34,Recruitment Agency,1,Low,0.037,0.066,0,0,8,1157,12
Madhesh,Bahrain,Manufacturing,Unskilled,Male,25-34,Individual,8,High,0.275,0.346,1,1,6,909,12
Karnali,Malaysia,Driving,Skilled,Male,35-44,Recruitment Agency,5,Medium,0.131,0.158,0,0,9,951,12
Lumbini,Kuwait,Driving,Skilled,Female,25-34,Recruitment Agency,1,Low,0.041,0.062,0,0,6,728,12
Gandaki,South Korea,Domestic Work,Skilled,Male,25-34,Regularisation,2,Low,0.03,0.03,0,0,8,1246,12
Bagmati,Kuwait,Driving,Skilled,Male,18-24,Recruitment Agency,3,Low,0.027,0.064,0,0,2,1041,24
Province 1,Qatar,Hospitality,Unskilled,Male,25-34,Individual,5,Medium,0.112,0.17,0,1,8,1219,24
Madhesh,Malaysia,Manufacturing,Skilled,Male,18-24,Recruitment Agency,5,Medium,0.09,0.13,0,0,1,603,12
Sudurpashchim,South Korea,Hospitality,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.113,0.183,0,1,7,1413,12
Karnali,Japan,Driving,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.144,0.167,0,1,9,704,12
Lumbini,Qatar,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,9,High,0.207,0.208,0,0,1,663,12
Madhesh,Malaysia,Manufacturing,Semi-skilled,Male,35-44,Recruitment Agency,7,High,0.16,0.233,0,1,7,523,12
Sudurpashchim,Qatar,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.241,0.315,0,1,3,1077,12
Sudurpashchim,Saudi Arabia,Driving,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.098,0.138,0,1,8,1339,12
Province 1,Kuwait,Construction,Skilled,Male,25-34,Individual,6,Medium,0.069,0.154,0,0,8,605,12
Province 1,UK,Driving,Unskilled,Male,35-44,Individual,2,Low,0.012,0.061,0,0,2,1415,24
Bagmati,South Korea,Hospitality,Semi-skilled,Male,25-34,Recruitment Agency,1,Low,0.014,0.077,0,0,5,447,12
Sudurpashchim,UAE,Domestic Work,Semi-skilled,Male,25-34,Recruitment Agency,10,High,0.288,0.211,0,0,5,837,24
Karnali,Japan,Construction,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.068,0.18,0,0,3,1190,12
Karnali,Qatar,Cleaning,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.096,0.168,1,0,3,743,36
Gandaki,Bahrain,Healthcare,Semi-skilled,Male,25-34,Recruitment Agency,1,Low,0.05,0.032,0,0,2,612,12
Bagmati,UAE,Manufacturing,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.128,0.156,0,0,8,411,12
Province 1,Bahrain,Hospitality,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.038,0.031,0,0,6,1398,12
Bagmati,Bahrain,Cleaning,Unskilled,Male,18-24,Recruitment Agency,3,Low,0.039,0.042,0,0,1,807,12
Madhesh,South Korea,Domestic Work,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.125,0.191,0,0,7,644,12
Karnali,Kuwait,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,10,High,0.163,0.226,0,0,9,778,12
Sudurpashchim,Japan,Construction,Unskilled,Male,35-44,Recruitment Agency,7,High,0.153,0.223,0,0,2,824,12
Lumbini,UK,Cleaning,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.073,0.19,0,0,8,952,24
Madhesh,Japan,Construction,Skilled,Male,18-24,Recruitment Agency,7,High,0.243,0.321,0,0,9,1098,36
Gandaki,Bahrain,Construction,Unskilled,Female,25-34,Recruitment Agency,7,High,0.236,0.231,0,0,5,1278,12
Gandaki,Saudi Arabia,Driving,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.087,0.175,0,0,7,766,24
Sudurpashchim,Oman,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,7,High,0.281,0.245,0,1,8,1213,36
Lumbini,South Korea,Healthcare,Unskilled,Male,18-24,Recruitment Agency,3,Low,0.02,0.038,1,0,5,865,24
Karnali,Japan,Manufacturing,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.13,0.199,0,0,3,536,12
Bagmati,Qatar,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,9,High,0.175,0.325,0,0,1,523,36
Sudurpashchim,Saudi Arabia,Hospitality,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.086,0.188,0,0,6,1350,24
Gandaki,Bahrain,Healthcare,Unskilled,Female,25-34,Regularisation,2,Low,0.015,0.079,0,0,2,378,12
Province 1,UAE,Domestic Work,Unskilled,Male,18-24,Recruitment Agency,10,High,0.168,0.262,0,0,9,1417,12
Lumbini,Kuwait,Driving,Unskilled,Male,25-34,Individual,5,Medium,0.117,0.114,0,0,6,892,36
Lumbini,Kuwait,Hospitality,Unskilled,Male,25-34,Individual,4,Medium,0.07,0.142,0,0,6,973,12
Karnali,Qatar,Domestic Work,Skilled,Male,25-34,Recruitment Agency,7,High,0.168,0.277,0,0,9,527,36
Karnali,UAE,Healthcare,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.089,0.18,0,0,2,1218,24
Karnali,UK,Domestic Work,Unskilled,Female,25-34,Recruitment Agency,10,High,0.298,0.313,0,0,5,773,12
Bagmati,UK,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.05,0.131,0,0,9,1250,12
Karnali,Oman,Manufacturing,Skilled,Male,25-34,Recruitment Agency,3,Low,0.031,0.07,0,0,7,1284,24
Karnali,Saudi Arabia,Healthcare,Unskilled,Male,35-44,Recruitment Agency,9,High,0.264,0.206,1,0,5,791,12
Karnali,Japan,Domestic Work,Unskilled,Male,35-44,Regularisation,8,High,0.225,0.202,0,0,2,1113,36
Karnali,Bahrain,Manufacturing,Skilled,Male,35-44,Recruitment Agency,3,Low,0.03,0.068,0,0,6,510,12
Lumbini,Qatar,Healthcare,Skilled,Male,18-24,Recruitment Agency,4,Medium,0.145,0.135,0,0,2,1147,36
Sudurpashchim,UK,Manufacturing,Skilled,Male,35-44,Recruitment Agency,3,Low,0.028,0.052,0,0,9,1324,12
Gandaki,Oman,Healthcare,Skilled,Male,18-24,Recruitment Agency,0,Low,0.043,0.043,0,0,8,1019,24
Sudurpashchim,Qatar,Driving,Unskilled,Male,25-34,Recruitment Agency,8,High,0.166,0.333,1,0,1,1014,12
Lumbini,Kuwait,Driving,Unskilled,Male,35-44,Individual,5,Medium,0.08,0.109,0,0,9,1135,36
Lumbini,UAE,Driving,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.094,0.128,0,0,2,372,24
Lumbini,Malaysia,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,9,High,0.282,0.207,1,0,4,837,12
Madhesh,Qatar,Domestic Work,Skilled,Male,35-44,Recruitment Agency,7,High,0.286,0.285,0,0,7,965,12
Gandaki,Malaysia,Cleaning,Semi-skilled,Male,18-24,Individual,3,Low,0.04,0.047,0,0,7,1159,24
Gandaki,Bahrain,Construction,Unskilled,Male,25-34,Recruitment Agency,7,High,0.194,0.312,0,0,2,697,24
Province 1,UK,Hospitality,Unskilled,Male,25-34,Individual,3,Low,0.028,0.027,0,0,7,603,12
Gandaki,Malaysia,Manufacturing,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.136,0.142,0,0,4,577,12
Gandaki,Oman,Driving,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.084,0.187,0,1,3,677,24
Lumbini,Kuwait,Construction,Skilled,Male,35-44,Recruitment Agency,5,Medium,0.102,0.175,0,0,7,1337,24
Karnali,Bahrain,Driving,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.062,0.13,0,0,5,513,24
Madhesh,Kuwait,Manufacturing,Skilled,Male,25-34,Individual,6,Medium,0.068,0.133,0,0,5,1039,12
Gandaki,Japan,Hospitality,Unskilled,Male,35-44,Recruitment Agency,3,Low,0.044,0.065,0,0,7,434,12
Madhesh,Oman,Driving,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.142,0.101,0,1,8,369,24
Karnali,Bahrain,Construction,Unskilled,Male,18-24,Recruitment Agency,8,High,0.219,0.327,0,0,9,1142,24
Province 1,Malaysia,Driving,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.094,0.184,1,0,2,1320,12
Karnali,Japan,Cleaning,Skilled,Male,45+,Recruitment Agency,3,Low,0.041,0.078,0,0,4,1365,24
Lumbini,Saudi Arabia,Domestic Work,Skilled,Male,18-24,Recruitment Agency,5,Medium,0.06,0.142,0,0,6,1336,12
Bagmati,UK,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.052,0.196,0,0,8,315,12
Karnali,South Korea,Healthcare,Skilled,Male,25-34,Recruitment Agency,2,Low,0.039,0.036,0,0,3,554,24
Gandaki,Kuwait,Driving,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.144,0.2,0,0,7,934,12
Lumbini,Malaysia,Healthcare,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.132,0.189,0,0,8,398,12
Karnali,UAE,Cleaning,Unskilled,Male,25-34,Recruitment Agency,8,High,0.205,0.341,0,0,3,676,12
Sudurpashchim,Kuwait,Cleaning,Unskilled,Male,35-44,Regularisation,6,Medium,0.148,0.164,0,0,3,872,24
Bagmati,Saudi Arabia,Driving,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.109,0.149,0,0,4,1392,12
Province 1,Bahrain,Domestic Work,Unskilled,Female,18-24,Recruitment Agency,9,High,0.237,0.301,0,1,9,1135,12
Madhesh,Qatar,Healthcare,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.148,0.142,0,0,4,1259,12
Karnali,Malaysia,Manufacturing,Skilled,Male,18-24,Individual,5,Medium,0.15,0.143,0,0,7,1407,12
Gandaki,Kuwait,Cleaning,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.115,0.162,0,0,7,727,12
Bagmati,UAE,Domestic Work,Unskilled,Female,25-34,Recruitment Agency,10,High,0.199,0.208,0,0,5,691,12
Province 1,Bahrain,Driving,Unskilled,Male,18-24,Recruitment Agency,2,Low,0.012,0.021,0,0,3,1315,24
Lumbini,Qatar,Hospitality,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.141,0.179,1,0,4,1215,12
Province 1,Kuwait,Cleaning,Semi-skilled,Male,25-34,Recruitment Agency,3,Low,0.043,0.063,0,0,9,938,12
Lumbini,Bahrain,Hospitality,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.029,0.063,0,0,2,574,36
Sudurpashchim,Oman,Healthcare,Skilled,Female,25-34,Recruitment Agency,0,Low,0.011,0.035,0,0,5,1057,12
Province 1,Bahrain,Hospitality,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.044,0.05,0,0,2,1380,24
Madhesh,Qatar,Driving,Skilled,Male,25-34,Individual,4,Medium,0.14,0.103,0,0,3,1399,24
Lumbini,Qatar,Cleaning,Unskilled,Male,25-34,Recruitment Agency,7,High,0.178,0.227,1,0,7,1288,12
Karnali,UAE,Healthcare,Unskilled,Male,25-34,Recruitment Agency,9,High,0.209,0.33,0,1,4,466,36
Province 1,UAE,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,7,High,0.158,0.207,0,0,5,477,12
Gandaki,Bahrain,Domestic Work,Skilled,Male,18-24,Recruitment Agency,3,Low,0.041,0.044,0,0,2,1009,12
Lumbini,UK,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.131,0.142,0,1,1,1327,12
Province 1,Malaysia,Driving,Skilled,Male,25-34,Regularisation,1,Low,0.019,0.042,0,0,9,1168,12
Karnali,Saudi Arabia,Healthcare,Unskilled,Male,25-34,Recruitment Agency,7,High,0.279,0.327,0,1,9,1069,12
Gandaki,UAE,Hospitality,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.08,0.181,0,0,7,1336,12
Lumbini,Japan,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.05,0.126,0,0,4,461,12
Sudurpashchim,Bahrain,Cleaning,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.012,0.047,0,0,7,1414,24
Karnali,UAE,Driving,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.133,0.158,0,1,6,672,24
Bagmati,UK,Healthcare,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.019,0.026,0,0,5,1415,24
Lumbini,Malaysia,Cleaning,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.072,0.144,0,0,5,523,24
Sudurpashchim,Saudi Arabia,Construction,Skilled,Male,25-34,Recruitment Agency,8,High,0.201,0.35,0,1,1,320,12
Karnali,UAE,Manufacturing,Unskilled,Male,25-34,Regularisation,10,High,0.247,0.219,0,0,3,1002,12
Madhesh,UK,Cleaning,Skilled,Male,25-34,Recruitment Agency,2,Low,0.047,0.058,0,0,1,686,12
Karnali,UK,Cleaning,Skilled,Male,18-24,Recruitment Agency,3,Low,0.021,0.039,0,0,4,346,24
Sudurpashchim,Kuwait,Domestic Work,Skilled,Male,35-44,Recruitment Agency,6,Medium,0.107,0.114,0,0,6,832,12
Karnali,Kuwait,Hospitality,Unskilled,Male,18-24,Recruitment Agency,7,High,0.201,0.282,0,1,4,1185,12
Sudurpashchim,Bahrain,Construction,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.07,0.2,0,0,3,1287,12
Sudurpashchim,Kuwait,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,10,High,0.254,0.246,1,0,9,1448,24
Lumbini,UK,Driving,Skilled,Male,35-44,Recruitment Agency,0,Low,0.043,0.023,0,0,1,1062,36
Gandaki,South Korea,Healthcare,Skilled,Male,25-34,Individual,0,Low,0.035,0.023,0,0,4,315,24
Bagmati,Oman,Healthcare,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.133,0.149,0,1,2,1426,36
Madhesh,Bahrain,Healthcare,Unskilled,Female,35-44,Recruitment Agency,6,Medium,0.138,0.12,0,0,4,797,24
Gandaki,Qatar,Hospitality,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.084,0.157,0,0,8,918,24
Lumbini,Kuwait,Hospitality,Unskilled,Female,25-34,Recruitment Agency,4,Medium,0.066,0.112,0,1,7,1121,12
Province 1,Saudi Arabia,Construction,Unskilled,Male,45+,Regularisation,10,High,0.254,0.301,0,1,4,1054,12
Bagmati,Kuwait,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,9,High,0.183,0.212,0,0,5,1112,12
Province 1,Qatar,Hospitality,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.05,0.116,0,0,4,381,12
Province 1,Bahrain,Manufacturing,Skilled,Male,25-34,Recruitment Agency,2,Low,0.017,0.023,0,1,9,1297,12
Sudurpashchim,Qatar,Hospitality,Unskilled,Male,45+,Recruitment Agency,7,High,0.269,0.22,1,0,2,503,24
Madhesh,South Korea,Cleaning,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.092,0.151,0,1,2,1108,24
Sudurpashchim,UAE,Domestic Work,Unskilled,Male,18-24,Recruitment Agency,10,High,0.256,0.31,0,1,6,1185,12
Lumbini,Saudi Arabia,Domestic Work,Skilled,Male,35-44,Recruitment Agency,6,Medium,0.13,0.16,0,0,2,896,24
Gandaki,Oman,Cleaning,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.067,0.162,0,0,3,1072,12
Bagmati,Bahrain,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.103,0.12,0,0,1,666,36
Sudurpashchim,UK,Hospitality,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.043,0.045,0,0,2,416,24
Lumbini,Bahrain,Construction,Unskilled,Male,35-44,Individual,7,High,0.194,0.33,0,0,1,745,12
Karnali,Oman,Driving,Skilled,Male,25-34,Recruitment Agency,3,Low,0.035,0.074,0,0,5,550,12
Gandaki,UAE,Construction,Skilled,Male,18-24,Recruitment Agency,7,High,0.169,0.257,0,0,3,622,12
Province 1,Malaysia,Hospitality,Skilled,Male,18-24,Recruitment Agency,2,Low,0.029,0.078,0,0,5,1496,12
Bagmati,Oman,Hospitality,Professional,Male,25-34,Recruitment Agency,0,Low,0.02,0.037,0,0,3,1069,12
